.3g2,video,3gpp2
.3gp2,video,3gpp2
.3gp,video,3gpp
.3gpp,video,3gpp
.aac,audio,aac
.adt,audio,vnd.dlna.adts
.adts,audio,vnd.dlna.adts
.aif,audio,x-aiff
.aifc,audio,aiff
.aiff,audio,aiff
.art,image,x-jg
.asf,video,x-ms-asf
.asm,text,plain
.asr,video,x-ms-asf
.asx,video,x-ms-asf
.au,audio,basic
.avi,video,avi
.bas,text,plain
.bmp,image,bmp
.c,text,plain
.cmx,image,x-cmx
.cnf,text,plain
.cod,image,cis-cod
.cpp,text,plain
.css,text,css
.dib,image,bmp
.disco,text,xml
.dll.config,text,xml
.dlm,text,dlm
.doc,application,msword
.docm,application,vnd.ms-word.document.macroEnabled.12
.docx,application,vnd.openxmlformats-officedocument.wordprocessingml.document
.dot,application,msword
.dotm,application,vnd.ms-word.template.macroEnabled.12
.dotx,application,vnd.openxmlformats-officedocument.wordprocessingml.template
.dtd,text,xml
.dvr-ms,video,x-ms-dvr
.dwf,drawing,x-dwf
.etx,text,x-setext
.exe.config,text,xml
.flv,video,x-flv
.gif,image,gif
.gtar,application,x-gtar
.gz,application,x-gzip
.h,text,plain
.hdml,text,x-hdml
.hta,application,hta
.htc,text,x-component
.htm,text,html
.html,text,html
.htt,text,webviewhtml
.hxt,text,html
.ico,image,x-icon
.ics,text,calendar
.ief,image,ief
.IVF,video,x-ivf
.jar,application,java-archive
.java,application,octet-stream
.jfif,image,pjpeg
.jpb,application,octet-stream
.jpe,image,jpeg
.jpeg,image,jpeg
.jpg,image,jpeg
.js,application,javascript
.json,application,json
.jsx,text,jscript
.less,text,css
.lsf,video,x-la-asf
.lsx,video,x-la-asf
.m1v,video,mpeg
.m2ts,video,vnd.dlna.mpeg-tts
.m3u,audio,x-mpegurl
.m4a,audio,mp4
.m4v,video,mp4
.map,text,plain
.mid,audio,mid
.midi,audio,mid
.mno,text,xml
.mov,video,quicktime
.movie,video,x-sgi-movie
.mp2,video,mpeg
.mp3,audio,mpeg
.mp4,video,mp4
.mp4v,video,mp4
.mpa,video,mpeg
.mpe,video,mpeg
.mpeg,video,mpeg
.mpg,video,mpeg
.mpv2,video,mpeg
.nsc,video,x-ms-asf
.odc,text,x-ms-odc
.oga,audio,ogg
.ogg,video,ogg
.ogv,video,ogg
.otf,font,otf
.pbm,image,x-portable-bitmap
.pdf,application,pdf
.pgm,image,x-portable-graymap
.png,image,png
.pnm,image,x-portable-anymap
.pnz,image,png
.ppm,image,x-portable-pixmap
.pps,application,vnd.ms-powerpoint
.ppsm,application,vnd.ms-powerpoint.slideshow.macroEnabled.12
.ppsx,application,vnd.openxmlformats-officedocument.presentationml.slideshow
.ppt,application,vnd.ms-powerpoint
.pptm,application,vnd.ms-powerpoint.presentation.macroEnabled.12
.pptx,application,vnd.openxmlformats-officedocument.presentationml.presentation
.prf,application,pics-rules
.ps,application,postscript
.qt,video,quicktime
.qtl,application,x-quicktimeplayer
.qxd,application,octet-stream
.ra,audio,x-pn-realaudio
.ram,audio,x-pn-realaudio
.rar,application,octet-stream
.ras,image,x-cmu-raster
.rf,image,vnd.rn-realflash
.rgb,image,x-rgb
.rmi,audio,mid
.rpm,audio,x-pn-realaudio-plugin
.rtf,application,rtf
.rtx,text,richtext
.sct,text,scriptlet
.sh,application,x-sh
.sldm,application,vnd.ms-powerpoint.slide.macroEnabled.12
.sldx,application,vnd.openxmlformats-officedocument.presentationml.slide
.smd,audio,x-smd
.smx,audio,x-smd
.smz,audio,x-smd
.snd,audio,basic
.spx,audio,ogg
.svg,image,svg+xml
.svgz,image,svg+xml
.swf,application,x-shockwave-flash
.tar,application,x-tar
.tgz,application,x-compressed
.thn,application,octet-stream
.tif,image,tiff
.tiff,image,tiff
.ts,video,vnd.dlna.mpeg-tts
.ttf,application,octet-stream
.tts,video,vnd.dlna.mpeg-tts
.txt,text,plain
.vml,text,xml
.wav,audio,wav
.wax,audio,x-ms-wax
.wbmp,image,vnd.wap.wbmp
.webm,video,webm
.wm,video,x-ms-wm
.wma,audio,x-ms-wma
.wml,text,vnd.wap.wml
.wmls,text,vnd.wap.wmlscript
.wmp,video,x-ms-wmp
.wmv,video,x-ms-wmv
.wmx,video,x-ms-wmx
.wtv,video,x-ms-wtv
.wvx,video,x-ms-wvx
.xaml,application,xaml+xml
.xap,application,x-silverlight-app
.xbap,application,x-ms-xbap
.xbm,image,x-xbitmap
.xdr,text,plain
.xla,application,vnd.ms-excel
.xlam,application,vnd.ms-excel.addin.macroEnabled.12
.xlc,application,vnd.ms-excel
.xlm,application,vnd.ms-excel
.xls,application,vnd.ms-excel
.xlsb,application,vnd.ms-excel.sheet.binary.macroEnabled.12
.xlsm,application,vnd.ms-excel.sheet.macroEnabled.12
.xlsx,application,vnd.openxmlformats-officedocument.spreadsheetml.sheet
.xlt,application,vnd.ms-excel
.xltm,application,vnd.ms-excel.template.macroEnabled.12
.xltx,application,vnd.openxmlformats-officedocument.spreadsheetml.template
.xlw,application,vnd.ms-excel
.xml,text,xml
.xpm,image,x-xpixmap
.xsd,text,xml
.xsf,text,xml
.xsl,text,xml
.xslt,text,xml
.xwd,image,x-xwindowdump
.zip,application,x-zip-compressed
